address,total_gnk,cases
gonka12av9up884t9lcsf70rs0l7jfmkmc8k9sxfuknt,87515.706412,"Case3a,Case3b_248,Case3c_250"
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,52989.936765,"Case2,Case4"
gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk,30915.639076,"Case2,Case3b_248"
gonka1umvyh0rz5fdmk9qhxurshhchennajced6f4s89,19853.590458,"Case2,Case3d_remaining"
gonka188c86f9mrlt4nlcg89f82nnfm9jzq9gtjafj50,11685.431400,"Case2,Case3a,Case3b_248"
gonka1dzdmx5ljrwkelrmgd7suv2q43epn293qacpgqn,10930.934355,"Case3a,Case3b_248"
gonka1r5hdy9q5v783ef7td98k4c68cxl6a58h5sytfq,4623.954018,"Case2,Case3b_248,Case3d_remaining"
gonka163ug8zucqeag9v5ey4au34jqt7vejkmxsg74eu,4086.605073,"Case4,Case3b_248,Case3c_250"
gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,3933.361320,"Case3b_248,Case3c_250"
gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,3409.330900,Case2
gonka1vcvn2p5gczr5pynqq0ca0933tdrf5w64sjgtdg,2481.939374,Case3b_248
gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,2358.756296,"Case2,Case4,Case3b_248"
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,1987.904622,"Case2,Case3b_248"
gonka1u9a7r4w76gult5n9ysadnual9fghkc6yda60wj,1945.265555,"Case2,Case3d_remaining"
gonka1pvkv59e72vju2h7s9j3ex62c5xneqey350vpwn,1927.972100,Case4
gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,1894.756997,"Case4,Case3b_248,Case3c_250"
gonka1dpt9zx2dqcky6yjjwrd8xz2w7lq6vffy9mhvgs,1841.921987,"Case2,Case3b_248,Case3d_remaining"
gonka1lswsj2x7u4606wqpunmm07skgf76r3dyz4v0d8,1827.469872,"Case2,Case3b_248,Case3d_remaining"
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,1812.926330,"Case2,Case3b_248"
gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,1780.381271,"Case2,Case3d_remaining"
gonka1ge9amk4ymld27d35akj3ky9uph4gyz6rdpepjj,1771.829231,"Case2,Case3b_248,Case3d_remaining"
gonka1jltjehxsnum94nt8c00ts7khmpy4lafv6gryzk,1741.951170,Case2
